timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rssi_watch,rssi_iphone
71489.0,-1.06,-0.23,0.3,-2.38,67.32,134.7,999.0,999.0
71504.0,-0.91,-0.39,0.18,6.96,55.79,116.46,999.0,999.0
71525.0,-0.84,-0.38,0.15,-1.59,33.45,113.28,999.0,999.0
71555.0,-0.65,-0.44,0.11,-66.65,30.82,116.94,999.0,999.0
71576.0,-0.58,-0.22,0.16,-89.84,36.19,101.75,999.0,999.0
71595.0,-0.59,-0.19,0.16,-98.45,29.05,85.14,999.0,999.0
71612.0,-0.61,-0.12,0.15,-81.18,15.5,69.46,999.0,999.0
71633.0,-0.57,-0.15,0.1,-59.27,1.1,47.36,999.0,999.0
71655.0,-0.48,-0.04,0.03,-45.41,-12.82,21.0,999.0,999.0
71676.0,-0.39,0.05,0.09,-21.3,-26.0,-10.31,999.0,999.0
71697.0,-0.33,-0.09,0.24,-27.16,-43.58,-42.48,999.0,999.0
71717.0,-0.46,-0.41,0.32,-70.74,-70.31,-86.73,999.0,999.0
71734.0,-0.55,-0.58,0.36,-93.99,-71.96,-95.52,999.0,999.0
71766.0,-0.87,-1.35,0.82,-126.34,-90.64,-74.58,999.0,999.0
71787.0,-1.0,-1.59,0.85,-67.93,-59.33,-13.06,999.0,999.0
71808.0,-1.09,-0.97,0.74,10.99,-11.17,56.03,999.0,999.0
71825.0,-0.68,-0.53,0.65,-8.61,-13.49,74.77,999.0,999.0
71846.0,-0.26,-0.46,0.37,1.28,-21.61,28.38,999.0,999.0
71872.0,-1.1,-0.39,0.14,99.3,-23.44,-30.94,999.0,999.0
71889.0,-2.45,-0.29,0.26,56.76,-37.29,-42.91,999.0,999.0
71910.0,-1.37,-0.03,0.56,-44.86,-2.26,-8.79,999.0,999.0
71927.0,-0.56,-0.03,0.23,-2.2,3.05,8.85,999.0,999.0
71947.0,-0.31,0.37,0.16,79.04,2.01,-45.35,999.0,999.0
71970.0,-0.82,0.19,-0.52,145.39,-6.59,-124.15,999.0,999.0
71990.0,-1.28,-0.28,-0.41,77.21,-40.1,-126.89,999.0,999.0
72007.0,-1.08,-0.14,0.11,41.63,-33.33,-111.69,999.0,999.0
72028.0,-0.96,-0.17,0.05,94.12,-13.06,-118.41,999.0,999.0
72054.0,-0.85,-0.22,0.04,50.78,-13.67,-95.03,999.0,999.0
72071.0,-0.96,-0.18,0.05,-20.08,-36.56,-77.09,999.0,999.0
72086.0,-0.96,-0.27,0.12,-18.43,-48.22,-62.44,999.0,999.0
72107.0,-0.87,-0.32,0.02,2.75,-47.73,-47.42,999.0,999.0
72128.0,-0.83,-0.27,0.0,32.04,-40.65,-48.28,999.0,999.0
72150.0,-0.81,-0.35,-0.01,52.92,-37.9,-54.2,999.0,999.0
72175.0,-0.84,-0.47,0.05,35.95,-36.44,-47.73,999.0,999.0
72196.0,-0.86,-0.41,0.07,17.76,-28.99,-42.54,999.0,999.0
72217.0,-0.89,-0.37,0.06,11.66,-26.12,-43.09,999.0,999.0
72238.0,-0.89,-0.3,0.04,18.8,-24.54,-44.43,999.0,999.0
72260.0,-0.88,-0.24,0.04,24.48,-25.02,-48.58,999.0,999.0
72281.0,-0.88,-0.22,0.11,15.81,-25.45,-53.65,999.0,999.0
72299.0,-0.96,-0.34,0.06,7.69,-23.86,-57.19,999.0,999.0
72319.0,-0.97,-0.45,0.01,17.58,-20.75,-53.47,999.0,999.0
72336.0,-0.96,-0.44,0.03,14.28,-19.65,-49.32,999.0,999.0
72363.0,-0.97,-0.44,-0.0,8.24,-12.21,-41.99,999.0,999.0
72386.0,-0.87,-0.6,-0.15,-5.19,-8.18,-26.06,999.0,999.0
72405.0,-0.98,-0.51,0.12,-16.3,-1.59,-13.49,999.0,999.0
72423.0,-1.08,-0.64,0.05,4.52,21.06,-0.12,999.0,999.0
