timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,phone_rssi,watch_rssi
254433,0.31,0.08,0.95,0.12,-0.06,0.12,405.0,-769.0,393.0,-62.0,-82.0
254465,0.3,0.1,0.95,-0.06,0.12,-0.06,405.0,-769.0,393.0,-62.0,-82.0
254497,0.3,0.09,0.95,0.31,0.37,0.24,405.0,-769.0,393.0,-62.0,-82.0
254525,0.31,0.08,0.95,0.06,0.12,0.12,405.0,-768.0,405.0,-62.0,-82.0
254558,0.31,0.08,0.95,-0.24,0.31,0.0,405.0,-768.0,405.0,-62.0,-82.0
254586,0.31,0.09,0.95,0.0,0.31,0.06,405.0,-768.0,405.0,-62.0,-82.0
254618,0.31,0.09,0.95,0.37,-0.06,0.18,404.0,-768.0,402.0,-62.0,-82.0
254651,0.3,0.09,0.95,0.55,-0.12,0.06,404.0,-768.0,402.0,-62.0,-82.0
254685,0.3,0.09,0.95,0.0,0.18,0.12,404.0,-768.0,402.0,-62.0,-82.0
254716,0.31,0.09,0.95,0.06,0.49,0.06,403.0,-767.0,397.0,-62.0,-82.0
254746,0.31,0.09,0.95,0.18,0.24,0.06,403.0,-767.0,397.0,-62.0,-82.0
254774,0.31,0.09,0.95,0.0,0.24,0.12,403.0,-767.0,397.0,-62.0,-82.0
254806,0.3,0.09,0.94,0.37,-0.06,0.06,403.0,-770.0,400.0,-62.0,-82.0
254834,0.3,0.09,0.95,0.24,-0.12,0.12,403.0,-770.0,400.0,-62.0,-82.0
254866,0.3,0.09,0.95,0.0,0.24,0.12,403.0,-770.0,400.0,-62.0,-82.0
254900,0.31,0.09,0.95,-0.12,0.49,0.06,406.0,-769.0,395.0,-62.0,-82.0
254928,0.31,0.09,0.95,0.24,0.06,0.24,406.0,-769.0,395.0,-62.0,-82.0
254960,0.31,0.08,0.95,0.43,-0.12,0.06,406.0,-769.0,395.0,-62.0,-82.0
